отпечаток: data\ledger.sqlite3 = 10174464 байт; уровней: active=5148, flipped=20596, worked_off=23708
класс    ТФ       n     25%  медиана     75%     макс
BTC/ETH  5m     245    0.26     0.39    0.60     3.67
BTC/ETH  15m    116    0.52     0.76    1.07     2.76
BTC/ETH  1h      58    0.96     1.39    1.94     5.36
BTC/ETH  4h      34    1.63     2.76    4.05    10.33
BTC/ETH  1d      14    5.11     7.00   12.32    13.57
альты    5m    2830    0.47     0.73    1.22    27.37
альты    15m   1152    0.81     1.23    1.94   102.69
альты    1h     434    1.50     2.29    3.78    36.94
альты    4h     193    2.88     4.06    7.34    48.30
альты    1d      63    9.83    13.77   18.13    52.26
альты    1w       8   16.65    23.23   47.65   136.21
